date,topic,speaker,text,category,text_length
2024-10-02,Parental Leave,Deputy Ciarán Cannon,-----and the furnishing of character references for that person by members of Deputy McDonald's team.,Housing,101
2025-06-24,Cabinet Committees,The Taoiseach,"I will start with Deputy Sherlock's questions on the patient safety (licensing) Bill and cervical cancer screening. The patient safety (licensing) Bill came through Cabinet today and the Minister can go through the details with the Deputy in due course, in terms of specifics on safe numbers, safe staffing and so forth. A lot of it has been introduced without legislation in accordance with agreements. The Minister will continue to resource the cervical cancer programme and other cancer screening programmes. It is important to say screening programmes are the first stage. They are population screening programmes designed to intervene early and identify but they are not the ultimate in diagnostic approaches. If people present with symptoms, they may need more detailed diagnostic assessment. We have to get the balance right. The public needs very clear information on screening programmes and what they can achieve and on the importance of always consulting a GP or consultant. That is extremely important because there are limits to screening programmes. There are calls to expand the number of screening programmes in different areas. We have made a lot of progress on cervical cancer screening because of new technology and new methodology but we are open to improving further and engaging with the various groupings to see what issues have been identified as problematic and how they can be improved. I will talk to the Minister for Health about that. Deputies Daly and Cahill raised the shingles vaccine. My understanding is it is a significantly expensive vaccine. I am struck by the research Deputy Daly cited regarding its impact on the risk of dementia. A figure as high as 20% is very significant. He said the research was published recently inNatureso I will talk to the Minister for Health about that. Generally, I am a supporter of vaccines. As a public health intervention, they have been extremely effective in the history of this country. People are not dying of what people died from 100 years ago anymore, primarily because of the successful introduction of vaccines to deal with a lot of infectious diseases. That is easily forgotten in modern discourse and debates. The Covid-19 vaccine was essential to society coming back to some degree of normality. Without that vaccine, we would still be in deep trouble. It is important to state that. I will go to the Minister in respect of that. Deputy O'Rourke raised CHI. Every family must be told whether their child required surgery. There has to be complete transparency from CHI in respect of that. There has to be diligent follow-up with all concerned, as it declared. We will ensure that happens. I will talk to the Minister on engaging with CHI on that issue. Deputy Coppinger raised CHI, again, and the issue relating to young boys. That is a very serious issue, which needs to be addressed transparently and comprehensively by CHI. The HSE and the Department of Health should be involved in respect of that issue. The Dickson report from 2017 on urology services in CHI proposed the consolidation of all paediatric urology services into a single, cohesive centre, the establishment of a multidisciplinary urology team and so forth. That key issue needs to be further examined in light of that report. The issues the Deputy has identified should have been disclosed earlier. That is a very good agreement between the HSE and the unions. Healthcare staff numbers have risen enormously in the past four to five years, with 30,000 extra. We cannot keep on saying, ""Let's get another couple of thousand."" There has to be a balance.",Government & Administration,3606
2024-10-23,Climate Action Plan,The Taoiseach,"I have outlined the progress we have made on climate change, accepting there is a lot more we need to do in the time ahead.",Energy & Environment,123
2025-05-20,Cabinet Committees,Deputy Paul Murphy,"Last week, South Dublin County Council passed a People Before Profit motion to allocate long-term housing to victims of gender-based violence leaving short-term refuges. Official figures show that 32 households fleeing domestic violence were forced into emergency accommodation from January to March. However, according to service providers this massively understates the problem. The housing crisis means women either cannot leave abusive relationships or are forced to return to them once their time in a refuge is up. I spoke to a woman a few weeks ago whose time in the short-term refuge was over. She was in an absolute panic because moving into emergency accommodation meant moving outside of her support networks. Both Housing for All and the zero tolerance strategy on gender-based violence focus on short-term refuges but nothing is being done to provide long-term secure social housing for victims of domestic violence. Does the Taoiseach accept that additional long-term social housing needs to be provided?",Government & Administration,1018
2025-02-13,Middle East,Deputy Paschal Donohoe,"It is important to acknowledge that the overall size of the Israeli economy is €500 billion. That is how big that economy is. ISIF is enormous, and many different investments are taking place across the world. We have already seen ISIF divest from companies within Israel. As I said in response to the House earlier, it is not clear to me, given the scale of the investment that ISIF has, both directly and indirectly, that it is in any way playing a role-----",Foreign Affairs & Trade,460
2024-07-02,Military Neutrality,Deputy Micheál Martin,"There has not been a peacekeeping mission approved by the Security Council of the United Nations since 2014. It is now 2024. The Security Council is paralysed. The idea that we would depend on Russia, China or the US to decide on whether Ireland should send troops to a peacekeeping mission, particularly given the role of a country like Russia, is completely outdated and absurd. That Russia would have a veto on whether Ireland would deploy troops to peace-keeping missions? That is where we are now. The world has changed. The Security Council is paralysed in how it may behave. Again, the Deputy has decided to equate the triple lock with neutrality. There is no question of changing our policy on military neutrality. We have been very clear on that. We are not joining any military alliance - we have no intention of that – and we are not part of any mutual defence pact. We do have to clarify the whole legislation in respect of having more than 12 people go to an evacuation zone, for example, to get our citizens out of a place like Afghanistan, Sudan or some other place where war breaks out, which is increasingly a feature of our need to intervene in given situations. We need far greater flexibility on that front.",Defence & Security,1227
2024-10-22,Departmental Policies,Deputy Cian O'Callaghan,"I ask the Taoiseach about the well-being of students in Gaelcholáiste Reachrann. As I am sure he would agree, the staff in this great coláiste are very dedicated. The students have been left in prefabs for more than 20 years, however, having been promised permanent school buildings. That is more than 20 years of waiting. There are students in prefab classrooms every day without any heating, wearing their jackets and coats trying to stay warm while they are getting taught. This is completely and utterly unacceptable. When I raised this with the Taoiseach a few weeks ago, he said he would speak to the Minister for Education about this and that she would engage directly on this. What is the outcome of the Taoiseach speaking to the Minister on this? Is she going to visit Gaelcholáiste Reachrann? When are the permanent school buildings that are badly needed going to be provided?",Government & Administration,886
2024-10-23,Cabinet Committees,An Cathaoirleach Gníomhach (Deputy Aindrias Moynihan),-----and we need to give the Taoiseach time to reply.,Government & Administration,53
2025-03-20,Water Charges,Deputy Thomas Gould,Where in the programme for Government is a referendum on water-----,Energy & Environment,67
2025-04-08,State Examinations,Deputy John Connolly,"Aontaím leis an Aire go bhfuil chuile dhuine den tuairim go bhfuil gá le hathchóiriú ar chóras na hardteistiméireachta. I agree there is universal acceptance among all parties and partners in education of the need to reform the leaving certificate and introduce a new senior cycle, in particular one that, as the Minister says, would assess skills development and develop critical thinking rather than just content knowledge. We all welcome that, but there is no doubt there is still some concern among teachers in particular, but not solely among them, as there is also concern among parents and pupils about the accelerated implementation. I very much welcome the information from the Minister tonight that the sample examination papers are to be published tomorrow, because that will help to ease some of the concern. Concerns remain that 40% of the overall grade will be for additional assessment components. Teachers are still worried about how the work will be authenticated as being sincere and genuine.",Education & Childcare,1010
2024-10-10,Air Navigation Orders,Deputy Micheál Martin,"First, we take the matter very seriously. On behalf of the Department of Transport we have contacted the Belgian Government with a view to getting that information formally from the authorities in Belgium. I referred to the objective of the airlines because, ultimately, they can go miles outside of our sovereign airspace and they would not be in violation of our laws or the Chicago convention but would still be transporting whatever cargo of weapons or whatever to wherever they want to go, including Israel. I make that point in the context of where we are. There are serious issues here, first in terms of violation of our sovereign airspace, and second our capacity and mechanisms to deal effectively and robustly with any airline that would deliberately violate our laws and the Chicago convention itself.",Defence & Security,813
2025-05-20,Cabinet Committees,Deputy Emer Currie,"The Minister for Justice has assured this House that his Department is finalising the regulations necessary for the local community safety partnerships to function. We really need to get them up and running as soon as possible. Dublin West is a big place. Key to the effectiveness of the local community safety partnerships is that they are indeed local. The problems facing Clonsilla are very different from those facing Corduff. Local communities have to be able to identify and solve those problems. I urge the Taoiseach and the Minister for Justice to ensure there is flexibility to set up subgroups for specific local villages like Ongar, Tyrellstown, Clonsilla, Carpenterstown and so on. There is a budget behind this work. The community safety fund is a brilliant initiative putting the proceeds from crime back into communities. However, it is only €4 million. Not all solutions are going to fall neatly under existing funding streams. I ask the Taoiseach to confirm that the new regulations will take that into account?",Government & Administration,1028
2025-05-20,Agriculture Schemes,Deputy Martin Heydon,"I am delighted the Deputy raised the point regarding the targeted agricultural modernisation scheme, particularly as it is such an important support for our farmers and farm families. It is grant aid to farmers to build or improve a specified range of farm buildings and equipment on their holdings, many of which will assist in making farms more resilient in the face of storms. In acknowledgement of the urgency of support required following Storm Éowyn, I opened a new tranche of TAMS 3 for a three-week period in March to deal specifically with storm-related damage on farms. The specific items in respect of which applications were accepted over this three-week period are as follows: back-up power take-off, PTO, generators; sheep, bovine and equine fencing that was damaged; and wood and biomass chippers and mulchers. Considering the recent power outages arising from storm damage, I reviewed the scope of generators supported by TAMS to include all generators, irrespective of the drive mechanism. The grant is targeted at the generator rather than the drive mechanism. While these generators are included as an investment item under the dairy equipment scheme, the investment is open to all farmers who declare the minimum eligibility requirement of 5 ha under the basic income support for sustainability, BISS, scheme in the year of application or preceding year. There is no requirement to be milking cows to be eligible for back-up generators under the scheme. For example, foresters and farmers with forestry, for which the Minister of State, Deputy Healy-Rae, has responsibility, will very much benefit from mulchers and chippers as well. In addition to these existing investments and to further aid resilience, I recently announced plans to introduce grant aid support under TAMS for replacement of roofs. The application process for this specific investment will be available later this year, when systems are developed. In the meantime, I urge farmers to carry out a structural assessment of their farm buildings. The suite of TAMS schemes, which includes more than 400 investment items, is the best mechanism for ensuring that funding is targeted at the most appropriate enterprises. That is why I made this particular tranche available to farmers in March.",Agriculture & Rural,2276
2024-10-17,Defence Forces,An Leas-Cheann Comhairle,I am sticking to the time on this because we allowed extra time previously. The Deputy has a full minute.,Defence & Security,105
2025-05-08,Military Neutrality,Deputy Sinéad Gibney,"No, I asked when it was prevented by the UN General Assembly.",Defence & Security,61
2025-05-01,School Meals Programme,Deputy Louise O'Reilly,My question is fairly straightforward. I am aware the Minister is doing a review. I have corresponded with him with regard to taking the profit motive out of school meal provision to the greatest extent possible. Has the Minister examined that or is he open to further discussion or consideration of it? My question cites the meals on wheels service but there are obviously others that would fulfil similar criteria.,Education & Childcare,416
2024-10-23,Taoiseach's Meetings and Engagements,Deputy Seán Haughey,"I think all of those who believe in liberal democratic values breathed a sigh of relief when Donald Tusk's centre-right Civic Platform came to power last year. Prime Minister Tusk is a former President of the European Council and was a friend of Ireland during the Brexit talks, as the Taoiseach said. He has since set about restoring constructive relations with the EU. He is reversing restrictions on media freedoms and restoring the independence of the judiciary. As a result, the EU has dropped legal proceedings against Poland. It is clear, however, that the President of Poland, President Duda, of the Law and Justice party, is hindering the implementation of Tusk's reform agenda. I am not clear from the Taoiseach's reply if he actually met with the President of Poland as well.",Government & Administration,786
2024-09-26,Road Traffic Offences,Deputy James Browne,"I thank the Deputy for his very important question about the number of scramblers that have been seized. As the Deputy will know, the law changed in this regard to allow scramblers to be seized. A sum of €190,000 was allocated to assist approved projects in 2022 and 2023 and almost €149,000 has been allocated for 2024 to help seize scramblers. The total number of scramblers seized to date across all Garda divisions is 119. The law came into effect in November 2023.",Transport & Infrastructure,469
2024-07-02,Defence Forces,Deputy Micheál Martin,"Apologies to the Deputy for interrupting. That is all done. That negotiation process is well and truly over for quite a while now. It has gone to the Department of enterprise. The next challenge is to make sure we get the legislation drafted and published and, with the co-operation of everybody in the House, to get it through the House. That would be the desired objective, probably now in the autumn session.",Defence & Security,411
2024-09-26,Agriculture Schemes,Deputy Charlie McConalogue,"There are a number of issues that have to be worked through in cases where people have not been paid yet. As we discussed with Deputy Crowe earlier there are probate issues, for example, which every year hold up a number of payments. The team is working through it with the objective of getting it up to 95% and, as I said previously, 82% had received their full payment at the end of last year. Everyone in this scheme has received either 85% of what they are due or either €4,000 or €5,000. As a result of the interim payment approach that was taken to make sure we could get payments out to people, some of them actually received a higher payment than they were due. We put in place a process to make sure that in those instances farmers can ensure it is netted off future ACRES payments and contained within their overall ACRES payment structure. With regard to the scores, the first port of call is engaging with the ACRES co-operation project, CP, teams that have done the scoring. At the moment the CP teams are holding meetings with farmers to discuss the scores that different commonages have had and updating farmers on the reasons behind those scores.",Agriculture & Rural,1162
2025-06-24,Climate Action Plan,Deputy Darragh O'Brien,"We are trying to cover a lot in a short time. We will have a chance to go through a lot of these points in more detail at the transport committee, which is meeting tomorrow, and at the environment committee. Regarding EV charging, under the motorway infrastructure scheme, 131 additional high-powered charging points across 17 different locations on the motorway network will be delivered by the end of this year. There is also a scheme to fund high-powered charging on national primary routes, with 175 high-powered charging points to be provided at 53 different locations. The infrastructure is certainly increasing and will increase further. The Deputy referred to issues with accessibility to EVs in respect of income and in areas that do not have as much public transport as others. I am looking at options, as I said here last week, for how I can reframe the grants. That will potentially require Government approval. I am also looking at options regarding second-hand EVs, which I will bring forward later this year. I will be happy to share those proposals with the transport committee once they are approved.",Energy & Environment,1117
2024-10-10,Ukraine War,Deputy Pádraig O'Sullivan,"The figure I had was $411 billion. The fact the Tánaiste said $486 billion suggests that things are going in the wrong direction as regards Ukraine's ability to finance its recovery. The gap for borrowing will be something that we will all have to deal with globally and internationally over the coming decade, as the Tánaiste said. SPUR is a crisis facility, which will focus on reconstruction, particularly critical infrastructure. As the Tánaiste knows, there have been many attacks by the Russians on power stations, bridges and dams. The Minister of State, Deputy Fleming, referenced housing. In terms of Ireland's overall contribution to modular housing in the Ukrainian context, will the Tánaiste give us an idea of the initial number, if he has it, for what we are providing and what is projected for the future?",Foreign Affairs & Trade,820
2024-10-02,Childcare Services,Deputy Claire Kerrane,"My question is about capacity in the childcare sector. There are major deficiencies, with thousands of children without a childcare place. What actions does the Minister intend to take to build capacity urgently in the sector?",Health,226
2025-02-11,Official Engagements,Deputy Paul McAuliffe,"We saw with Brexit that a huge amount of work went into preparing Irish business for the impacts of the divergence between the two parts of the island on trade, customs and tariffs. As we head into more uncertain times in terms of the transatlantic relationship regarding trade and tariffs, I ask the Tánaiste's Department and the Department of Enterprise, Trade and Employment to engage more with business. That is unlike members of the Opposition, who seem to pour water on engaging with businesses on trade. Of course, the Government should have an ethical framework and avoid any suggestion of oligarchy and so on, but if it is to deal with trade and tariffs, the people it should talk to are Irish businesses and people carrying out business in Ireland. We need to look at what the unintended consequences for those might be, most immediately in terms of aluminium and steel. We do not know where this will go but more engagement with businesses and for them to inform our position is a positive step and something we should not discourage. Some people in this House are better at creating jobs than others.",Government & Administration,1112
2025-05-13,Legislative Measures,Deputy David Cullinane,"We are reflecting on the Grace case. We had very lengthy debates in this House over a number of days last week, as the Minister knows. Grace was an adult for 12 years of her time in that home. As we know, she suffered very serious neglect and abuse in that home for a long number of years. As the Minister mentioned, it is not just about the Grace case; we also had the Brandon and Emily cases. We have had far too many cases and reports which have made the same recommendations that we need a much stronger and more robust legal framework with regard to the protection of adults in disability centres, nursing homes and care homes. In fact, whenever the Government gets around to its statutory home care scheme - I do not know when that will ever see the light of day - social care teams will say that there will be a need for safeguarding legislation in that area as well. Policy is all well and fine. I am not in any way dismissing the importance of what is being done by the Minister. Legal frameworks, legal rights of entry and mandatory reporting are very important because in their absence, we have more failures and issues, and we then have tea and sympathy afterwards and reports where we say are sorry and we will look into it and apologise. It is our job to get the legislation right and to ensure we have the most robust legal protections for adults in all care settings. All I am asking for is legislation that will enable that to happen.",Government & Administration,1451
2025-02-25,Cabinet Committees,Deputy Mary Lou McDonald,"Access to general practitioners is under pressure right across the State but particularly in some areas of very grave disadvantage, one of which is Summerhill in Dublin 1. For the past eight years the Summerhill Family Practice operated by the charity GP Care For All, has provided 2,632 people with GP services in the north inner city. That service is under threat because of Revenue rules. This matter has been brought to the attention of the Ministers for Finance, public expenditure and reform, and Health. There has to be an urgent intervention here or we will lose this service in an area where it was impossible to get general practice to operate. This has been the solution and it is imperative that the service is protected. I ask the Taoiseach to act on this matter.",Government & Administration,776
2025-04-29,Cabinet Committees,Deputy Rose Conway-Walsh,"Did the Cabinet sign off on the €430,000 salary associated with the strategic housing activation office today? People in County Mayo and across the country who cannot access housing or who are paying exorbitant rates want to know that. This is almost €500,000 in salary for a role that should not be necessary if the Government stuck to its housing projections and implemented the recommendations of the Housing Commission report. Earlier this month, I wrote to Mayo County Council to seek information about a number of social housing acquisitions in 2024. In Mayo, there has been a cut of 63% to funding for new applications for social housing acquisitions. This has a real impact on people's lives. By the end of 2024,13 tenant in situ acquisitions had been paused. I am working with a woman whose landlord is selling the house she has lived in for the past seven years. This mother is living with a brain condition and she has a nine-year-old daughter. They are facing homelessness, but because of the restrictions on Mayo County Council, it can no longer purchase a home under the tenant in situ scheme. She said, in her own words, ""We have nowhere to go"". The best the county council can offer them is emergency accommodation. I ask the Taoiseach to reverse the cuts and severe restrictions to the tenant in situ scheme.",Government & Administration,1325
2024-09-26,Policing Authority,Deputy James Browne,"There is no question that there is a challenge regarding the number of gardaí, but that arose out of the situation during Covid when recruitment was paused. We are now addressing the situation by significantly increasing recruitment through Templemore. Up to the end of June of this year, 581 gardaí were assigned to the Mayo, Roscommon, Longford division and 599 were assigned to the Galway division. The Deputy will see an increase in the number of members of An Garda Síochána over the coming years as that recruitment continues and those gardaí are deployed.",Defence & Security,562
2025-06-12,Defence Forces,Deputy Duncan Smith,This question is on the shots fired at our peacekeeping soldiers in Lebanon. Will the Tánaiste provide a comment on this?,Defence & Security,121
2025-03-04,Bus Services,Deputy Mairéad Farrell,"Go raibh maith agat, a Aire Stáit. It is good to be talking to a Galway Minister on these issues. The latest I have on this states the dates for implementation of the new service have not yet been set but it is anticipated the changes would happen in 2027. I thank the Minister of State for his response but it is disappointing to hear that the BusConnects network changes have been pushed back again. What is causing the delay? I was previously told the changes would start to come in during 2025. More recently, I was told 2026 and now I am hearing about 2027. Will the Minister of State clarify how the 2027 date is compatible with the contracts in place? If there is a two-year gap between the end of the current City Direct contracts and the network changes, would that mean the NTA intends to implement new contracts with City Direct between 2025 and 2027?",Transport & Infrastructure,862
2024-10-16,Legislative Programme,Deputy Cian O'Callaghan,"I thank the Chief Whip for that summary. Is there a timeframe for the occupied territories Bill? Regarding the Finance Bill’s scheduling, there are reports that the Bill will go to the finance committee on 5 November. Will the Chief Whip give us a guarantee that this schedule will be adhered to? If she is not able to give us a cast-iron guarantee, what procedures would the Government use to accelerate the process and how would that be notified to the House?",Government & Administration,461
2025-06-19,Social Welfare Benefits,Deputy Brian Stanley,"The reason I raise this is because people find themselves out of work through no fault of their own because of a disability or they have to give up work to care for a loved one and may have to put in a claim for carer's allowance. These are genuine cases. I understand that it is complex. I understand that there are a number of different aspects in terms of judging whether people are eligible or not. The Oireachtas helpline is of assistance, but it is not a silver bullet. The experience we have had is that some applications take four and five months to process, which can cause serious problems. Even in straightforward cases, there may be a missing document that is then supplied. If there is an appeal, it can take up to 12 months. That is our experience. The Minister asked if I have an individual case. I want to go back and check where those cases are at. If there is a particular case, I will bring it to his attention. The Minister read out a reply prepared by the Department. I am not saying that the officials are giving him false information, but the experience we have been having does not match what he read out.",Social Welfare,1129
2025-06-10,Energy Prices,Deputy Pa Daly,"There is an awful lot the Minister can do to bring down household electricity prices. The additional costs on household bills make up around 50% of the final electricity price to consumers. The programme for Government omitted any mention of network charges. It gave a vague commitment to explore funding models for the PSO to reduce bills. Is the Minister going to do that? He can tackle the regressive PSO levy on network charges now because network charges could be four times what they are now following the conclusion of price review 6. This burden could and should be distributed fairly, rather than ordinary householders being forced to bear the brunt. Grid upgrade and repair could also be financed through Exchequer funding rather than levying it on top of household bills. We also need to look at the role of the regulator, which needs to be strengthened. Is the Minister going to make these charges? Will he distribute network charges and the PSO levy to reduce the energy burden on households, if he is not going to introduce the other measures?",Energy & Environment,1057
2025-02-26,Military Neutrality,Deputy Donnchadh Ó Laoghaire,"Regarding our assessment as to why Ireland should be a neutral State, some people have talked about moral superiority. That is not it in my view. In my view it is a clear-sighted assessment of the role we can play where we can be of most benefit but also do what is in our interests. I believe that neutrality serves us well and has popular support. The Minister has said he is in favour of neutrality. The massive concern is that without the triple lock, effectively a vote of this Dáil ultimately is the only thing that will decide whether troops will be deployed. What we are talking about here is Irish troops operating outside of a UN mandate. For all the flaws of the UN, it is recognised and there is a certain respect for the blue helmets and all that goes with it and Irish troops have served with distinction under it. With Irish troops being deployed outside that mandate, what if something were to go wrong? That is the concern. What if Irish troops were to become embroiled in something controversial or difficult or that might in any way undermine or damage our status as a neutral state?",Defence & Security,1102
2025-04-08,State Examinations,Deputy Helen McEntee,"There is much more in train, which I will outline. A significant amount of work is already under way in that regard.",Education & Childcare,116
2025-04-10,Energy Infrastructure,Deputy Conor Sheehan,"I thank the Minister. I am disappointed to hear his reply. Given that the FSRU would, in theory, provide sufficient gas reserves, how can we have faith in the Government's commitment to end fossil fuel use and to reach our targets? Is it a case that the FSRU will not provide sufficient energy security and the Minister feels we need the Shannon LNG too?",Energy & Environment,354
2025-04-08,Special Educational Needs,Deputy Michael Moynihan,"I thank the Deputy for the supplementary questions. I met a number of parents and have met with them over many years in respect of special educational needs. I know the stress they are under. I cannot overstate how hard the Minister, Deputy McEntee, and I have worked over recent weeks to ensure we would have a place for every child in September. We are working extremely hard with the NCSE and the Department of Education officials to ensure all of the 400 special classes are opened by September. We are a number of months ahead of where we were this time last year because of the work that has been put in. I believe the NCSE has created sufficient capacity for children who need special classes in September. It is important we take note that the deadline was 1 February this year and our intention is to have that deadline earlier in the school cycle so there would be certainty for families earlier in the school year.",Education & Childcare,925
2024-07-11,Industrial Relations,Deputy Louise O'Reilly,"Respect at Work is a civil society campaign aimed at improving workers' rights in Ireland. Will the Minister of State commit to supporting this campaign and, specifically, its six legislative asks?",Employment & Labour,197
2025-03-27,Social Enterprise Sector,Deputy George Lawlor,"I welcome the Minister's comments. I think he hit the nail on the head: often people who have very good ideas do not have the necessary business acumen or are afraid to put themselves forward and present a business plan. Wexford Local Development has three fabulous in-house social enterprises in Kafé Konnect, EPIC and the Little Jobs Service. Kafé Konnect is a terrific example of how people who have been left on the margins can be immersed into the area of helping themselves, working among themselves. Under the stewardship of Julie Codd in Wexford Local Development, Kafé Konnect has been a hugely successful commercial enterprise. There are many and varied benefits of this. Kafé Konnect deals with people who are recovering from addiction issues and is now running a wonderfully successful business venture. I invite the Minister to come to Wexford at some stage and view it at first hand. I will even stand him a coffee on that basis.",Economy & Business,943
2025-02-13,Flood Risk Management,Deputy Ruairí Ó Murchú,That is okay. I appreciate that. The question was just to get an update. We all know the importance of the issue and I have no doubt that the Minister of State does. It is a matter of ensuring we are not facing and dealing with floods. We will move on.,Transport & Infrastructure,252
2024-10-24,Enterprise Support Services,Deputy Emer Higgins,"I propose to take Questions Nos. 71 and 76 together. Balanced regional enterprise development remains a key focus for me and for the Government, as affirmed in the White Paper on enterprise. I very much appreciate the contribution made by enterprise and remote working hubs throughout the country. These facilities allow people to live and work in their local communities and provide vital services to support entrepreneurs, start-ups and SMEs. We have invested significantly in the development of these facilities. We are committed to further support for the sector. The Department of Rural and Community Development has invested more than €150 million in the development of remote working facilities through programmes such as connected hubs, the town and village renewal scheme and the rural regeneration and development fund. Successful projects are developed in collaboration with local authorities and communities, with many vacant and derelict buildings being converted into remote working hubs. My Department and the Department of Rural and Community Development are working together to develop the first strategy for a national hub network, following consultation with key stakeholders. I expect the draft strategy to be brought to Government in the coming months. Since 2017, my Department has allocated more than €150 million to support enterprise centres and hubs across the country through Enterprise Ireland’s schemes, such as the regional enterprise development fund and the Border enterprise development fund, which I am sure is of use to the Deputy and his communities. Enterprise hubs are essential infrastructure for entrepreneurs and SMEs and they are an integral part of the enterprise ecosystem in the country. That is why my Department has secured up to €145 million for the smart regions enterprise innovation scheme which is co-funded under the European Regional Development Fund. That scheme includes four streams ranging from delivery of major local enterprise infrastructure such as building enterprise hubs to funding for services delivered to SMEs to drive innovation and enhance their competitiveness. The smart region scheme is open for business. Enterprise Ireland is ready to work with potential applicants. That is an important message to get across in Deputy Smith’s constituency. While they are independent, the Government will work collaboratively with the local authorities to deliver innovative projects. The local authorities have supported many of the enterprise hubs delivered to date, as project partners or through direct funding contributions. Smart regions scheme projects are delivered on the triple helix partnership model. That means they are developed in collaboration with industry, academia and the public sector. Any co-financing rates are based on a multitude of factors, but primarily they are constrained by state aid restrictions and the partnership model required for the development of these projects nationally. I anticipate an announcement of initial projects funded under the smart regions scheme in the coming weeks. I hope there will be good news for many organisations throughout the country. There are no plans to introduce another regional enterprise development scheme while the smart regions scheme is in place. I expect, however, that funding of enterprise hubs will be kept under review as we consider future approaches to regional enterprise development.",Economy & Business,3427
2025-03-06,Mental Health Services,Deputy Mary Butler,"The Deputy is saying ""There is no CAMHS service"", but that is factually incorrect. There were 223,000 appointments last year for children-----",Health,142
2025-05-08,Public Transport,Deputy Jennifer Whitmore,"I find it interesting that, literally, the only mention of affordability came in the last sentence of a two-minute contribution, and my question was about fare pricing. I know we have seen an increase in the number of people using public transport, which is fantastic, but we need to see more of it. Our emissions are stubbornly high in the area of transport and while we have seen a slight reduction, it is nothing like what we need to see. There has been a 6% increase in public transport emissions and as there are a lot more people in Ireland now, that is projected to continue to rise. We need to see a 12% reduction in public transport emissions this year to meet our targets for 2025 but that is clearly not going to happen. Disincentivising people from using public transport by putting up fares is not the way to do it. We have seen increases in train fares for people in Greystones, Kilcoole, Sallins, Kilcock, Balbriggan and Skerries. That is the wrong way to go about trying to encourage people onto public transport.",Transport & Infrastructure,1029
2025-03-20,Rental Sector,Deputy Louise O'Reilly,"The question is a fairly straightforward one. I am looking for some information regarding the tenant in situ scheme. It genuinely seems like the third or fourth secret of Fatima, or whatever it is. Trying to get information out of the county council can be incredibly difficult but it should not be because this is a very important intervention. It is a homeless prevention measure. For the avoidance of any doubt, any person who applies for the tenant in situ scheme and does not get it is given some very helpful advice by the county council, but the Minister and I both know they are just heading straight into emergency accommodation.",Housing,638
2024-09-26,An Garda Síochána,Deputy Cathal Crowe,"I commend Deputy O'Connor for his very important question. He mentioned that the situation could be at crisis point. I would say that in many corners of Ireland, it already is. I can tell the Minister of State, following contact I have had from the Garda representative organisation, that there is a functional policing area, I will not say where, that straddles two counties and covers a population of 50,000 people. It had two gardaí on duty on Wednesday night of last week, just two gardaí in the entire area going around in one patrol car. That is crisis point. When I come to Dáil Éireann I often chat with gardaí on the street. They are from Deputy O'Connor's and my constituency. When Taylor Swift or some big event is on in Dublin, they are all drafted up to backfill rosters here in Dublin. That is crisis point. We have to speak up unapologetically for rural counties which could also become the soft belly of crime in Ireland, if some of them are not already. I would love to hear more detail on what we do to backfill those rosters in rural Ireland. They are being hollowed out to fill the policing roster in Dublin.",Defence & Security,1128
2025-03-06,Cancer Services,Deputy Peadar Tóibín,"The Minister is right that Covid killed many people, for sure. Cancer also killed many people, for sure. We have not had a Covid inquiry yet so we do not know the effectiveness or net benefit in terms of saving people's lives of shutting down hospital services and stopping cancer patients getting treatment. The Minister mentioned survival rates. The National Cancer Registry shows Ireland has a breast cancer survival rate of 82%. Sweden has a 7% higher rate and Britain a 5% higher rate. It is not just about geography; it is also whether you use the public or private system. If you go by the private system for breast cancer, you have a 12% better chance of surviving for five years. There are a number of things I would like the Minister to address and I understand she will not be able to do them all in this question but I want the Government to tackle what happened in 2020 and the effect it had on cancer sufferers. Also, why are we not as good as the likes of Sweden and England in terms of survival rates for breast cancer? Why is it the case that if you are on a low income and use the private sector, you are 12% less likely to survive over five years?",Health,1166
2025-05-13,Health Strategies,Minister of State at the Department of Health (Deputy Jennifer Murnane O'Connor),"I thank the Deputy for his question and congratulate him on his new appointment as Chair of the health committee. I look forward to working with him and the team. Sexual health is a priority for the Department of Health. The drafting process for the national sexual health strategy commenced in 2023 following a review of the previous strategy. The drafting committee included policy, service delivery and clinical leads working within the Department and the HSE. However, the strategy underwent an additional round of stakeholder consultation and feedback completed in mid-2024. It was decided that the strategy would be launched under the new Government to incorporate priorities from the new programme for Government. The strategy is supported by an action plan that maps out implementation plans for the first three years. It is currently at advanced design stage and will be submitted for departmental and ministerial approval shortly. Within the remit of the strategy will be support for positive mental health and well-being across the life course of the strategy, testing, diagnosis and treatment of HIV and STIs, prevention of adverse sexual health outcomes, information, education and research. Subject to departmental, ministerial and Government approval, the launch is planned for two weeks' time, Tuesday, 27 May. We have the launch ready, all going well, for this day two weeks. To keep the Deputy updated, service improvements are ongoing in the meantime. An additional €1.35 million has been allocated to free home STI testing, HIV PrEP and the free contraception scheme in 2025. A lot of work has been done through the Department.",Health,1647
